iter	Logloss
0	0.6881822726
1	0.6838376115
2	0.6796502834
3	0.6750345463
4	0.6703617747
5	0.6656552291
6	0.6616350034
7	0.6572541028
8	0.6534391264
9	0.6493868944
10	0.6447047257
11	0.6412468422
12	0.6365616496
13	0.6327767721
14	0.6285153366
15	0.6256835751
16	0.6226020441
17	0.6182785965
18	0.6147767044
19	0.6115872453
20	0.6087924678
21	0.6049512538
22	0.6013277566
23	0.5974092716
24	0.5929556126
25	0.5892342358
26	0.5861335382
27	0.5827221754
28	0.5793120221
29	0.5752608136
30	0.5720083655
31	0.5690019189
32	0.5664256026
33	0.5631306811
34	0.559370227
35	0.5560849353
36	0.5531320339
37	0.5503038546
38	0.5471504491
39	0.5449384364
40	0.5421128622
41	0.5390137463
42	0.536349692
43	0.5338910731
44	0.5309598039
45	0.5284784829
46	0.5251797467
47	0.5215986298
48	0.5182527682
49	0.5155068374
50	0.5130281216
51	0.5098480597
52	0.5070757052
53	0.5044138839
54	0.5013412848
55	0.4983183698
56	0.4961087762
57	0.49364611
58	0.4913147717
59	0.4890412121
60	0.485923488
61	0.4831870474
62	0.4803023455
63	0.4779668668
64	0.4752241925
65	0.4727033289
66	0.4704205118
67	0.4677339879
68	0.4660810145
69	0.4643341157
70	0.4621732758
71	0.460096871
72	0.4576724913
73	0.456105302
74	0.4544602371
75	0.4521390868
76	0.4492775987
77	0.4471651868
78	0.4453458553
79	0.4429620882
80	0.4410636716
81	0.4392849527
82	0.4376895718
83	0.4364835227
84	0.4342314092
85	0.4319706428
86	0.4301922496
87	0.4283662191
88	0.4266618868
89	0.4244425704
90	0.4220562446
91	0.4206744403
92	0.4192252741
93	0.4176253342
94	0.4160946637
95	0.4144230354
96	0.4123078323
97	0.4102799951
98	0.408893213
99	0.4071083999
100	0.4053334492
101	0.4040594334
102	0.4024207883
103	0.4007234806
104	0.3988740037
105	0.3970432281
106	0.3957649324
107	0.3938083649
108	0.3920304368
109	0.3901840768
110	0.3888438155
111	0.3872505514
112	0.3861543841
113	0.3846497419
114	0.3832319539
115	0.3816938168
116	0.3802130629
117	0.3782460748
118	0.3767239873
119	0.375256236
120	0.3741506483
121	0.3728967992
122	0.3716525566
123	0.3706517568
124	0.3689932242
125	0.3675008634
126	0.3664537988
127	0.3650626671
128	0.3639699657
129	0.3626040017
130	0.3617066174
131	0.3604622818
132	0.3594073319
133	0.3581958631
134	0.3569231266
135	0.3562577643
136	0.3547384913
137	0.3531237579
138	0.3519542973
139	0.3511464421
140	0.349595884
141	0.3486069703
142	0.3474369979
143	0.3459775971
144	0.3450871677
145	0.3436014827
146	0.3424569572
147	0.341405729
148	0.3404127447
149	0.3397547559
150	0.3388371816
151	0.3374155091
152	0.3367451226
153	0.3358215239
154	0.3346784638
155	0.333706251
156	0.332638159
157	0.3317331221
158	0.3308946098
159	0.3296275255
160	0.3288691916
161	0.3281082991
162	0.3271980286
163	0.3260963254
164	0.3250652406
165	0.3238415602
166	0.3229144259
167	0.3221365301
168	0.3216157774
169	0.3204775554
170	0.3197578337
171	0.3190031749
172	0.318284593
173	0.3174982071
174	0.3168179117
175	0.3156271446
176	0.3148334317
177	0.3136512942
178	0.3128868196
179	0.3124408955
180	0.3115700047
181	0.3108666118
182	0.3100151667
183	0.3092576934
184	0.3085820268
185	0.3079292483
186	0.3069595942
187	0.305985567
188	0.3050058877
189	0.3044200292
190	0.303731081
191	0.3031814389
192	0.3021698928
193	0.3014097446
194	0.3006981175
195	0.2998593028
196	0.2988964174
197	0.2983839919
198	0.2974478559
199	0.2967515806
200	0.2959135567
201	0.2951446161
202	0.294528496
203	0.2940489606
204	0.2931780466
205	0.2925067529
206	0.291863046
207	0.2910249757
208	0.2903813618
209	0.2898146467
210	0.2893826787
211	0.2884776418
212	0.2878182574
213	0.2872294914
214	0.2866189771
215	0.2857583209
216	0.2852129587
217	0.2845673677
218	0.2841327946
219	0.2834253311
220	0.2826529014
221	0.2819907723
222	0.2813177341
223	0.2806439283
224	0.2797051406
225	0.2793282765
226	0.2787890085
227	0.2781806108
228	0.2774799161
229	0.2767922239
230	0.2759965571
231	0.275215963
232	0.2746169393
233	0.27397186
234	0.27347681
235	0.2729069547
236	0.2722026546
237	0.2716216576
238	0.2711982494
239	0.2704037457
240	0.2697152859
241	0.26910205
242	0.268551338
243	0.2682496978
244	0.2679254951
245	0.2674412844
246	0.2668245362
247	0.266292572
248	0.2658268068
249	0.2650507485
250	0.2646146635
251	0.2638589347
252	0.2632499323
253	0.2627225736
254	0.2622984444
255	0.2615908646
256	0.2608576984
257	0.2603642533
258	0.2599439388
259	0.2594169524
260	0.2588355599
261	0.2584184321
262	0.2580345898
263	0.2577029205
264	0.2573112395
265	0.256753875
266	0.2558849381
267	0.2554450849
268	0.2549668754
269	0.2544451458
270	0.2536591321
271	0.2531640355
272	0.252441476
273	0.2519763388
274	0.2514289996
275	0.2508721468
276	0.2503617682
277	0.2499014459
278	0.2495399336
279	0.2487718768
280	0.2482807346
281	0.2477996175
282	0.2472379033
283	0.2467462493
284	0.2462294276
285	0.2459411621
286	0.2453953348
287	0.2450550824
288	0.2444668514
289	0.243986153
290	0.2433875712
291	0.2427251397
292	0.2420162573
293	0.2415841963
294	0.2412531318
295	0.2408062539
296	0.2403107155
297	0.2399478308
298	0.2394813445
299	0.2391215069
300	0.2386808395
301	0.2381807886
302	0.2377072544
303	0.237243443
304	0.2367446946
305	0.2365357004
306	0.2362715093
307	0.2356723925
308	0.2352127913
309	0.2348540236
310	0.2344967679
311	0.2340708942
312	0.2334970149
313	0.2330742813
314	0.232580371
315	0.232112931
316	0.2316813585
317	0.231307053
318	0.2310242071
319	0.2303051832
320	0.2299399492
321	0.2296097918
322	0.2293513693
323	0.2287112213
324	0.2282709494
325	0.2280295767
326	0.2275237339
327	0.2271748054
328	0.226737883
329	0.226287144
330	0.2258697138
331	0.2255207155
332	0.2251724848
333	0.2248907322
334	0.2244630209
335	0.2241076027
336	0.2238783487
337	0.2234042796
338	0.2229261864
339	0.2226003786
340	0.2224376492
341	0.2220430142
342	0.2216499143
343	0.2214022846
344	0.2208639936
345	0.2204573562
346	0.2199620735
347	0.2196737382
348	0.2192256509
349	0.2187996376
350	0.2183758805
351	0.2180050641
352	0.217648762
353	0.2172349139
354	0.2167995267
355	0.2164183826
356	0.2158680893
357	0.2154381217
358	0.2149638199
359	0.2146075644
360	0.2143013187
361	0.2138668619
362	0.2136363983
363	0.2132599761
364	0.2128086323
365	0.21246196
366	0.2120004049
367	0.2115258938
368	0.2111839201
369	0.210983602
370	0.2106021788
371	0.2101380418
372	0.2097890668
373	0.2093134392
374	0.2087425604
375	0.2084348725
376	0.208088805
377	0.2078986517
378	0.2076294131
379	0.20735315
380	0.2069961734
381	0.206584535
382	0.2063565138
383	0.205884538
384	0.2056544932
385	0.2055476584
386	0.2052175941
387	0.2049603811
388	0.2047686461
389	0.2042080949
390	0.2038737041
391	0.2033125715
392	0.2029778085
393	0.2026013165
394	0.2023980676
395	0.2019946401
396	0.2016583419
397	0.2012811521
398	0.2009646718
399	0.2006491219
400	0.2003445742
401	0.2000014607
402	0.1997500164
403	0.1994293957
404	0.1992208434
405	0.198758451
406	0.198520893
407	0.1982040638
408	0.1978376435
409	0.1974716652
410	0.1973247063
411	0.1968591039
412	0.1965967969
413	0.1963694503
414	0.1960120317
415	0.1957891976
416	0.1954947216
417	0.1952911005
418	0.1948692275
419	0.1943805043
420	0.1940807715
421	0.1938490868
422	0.1936046903
423	0.1934359015
424	0.193190877
425	0.1928157574
426	0.1925713958
427	0.1924054797
428	0.1921364389
429	0.1919049286
430	0.1916956553
431	0.1915144339
432	0.1911653193
433	0.1909897269
434	0.1907327233
435	0.1904525059
436	0.1900799333
437	0.1897926679
438	0.1894993201
439	0.1892150088
440	0.1889473985
441	0.1886453396
442	0.1882786634
443	0.1881392991
444	0.1877607253
445	0.1876196745
446	0.1874403837
447	0.1871088656
448	0.1869227363
449	0.1866456009
450	0.1862707371
451	0.1859551755
452	0.1856850182
453	0.1855462819
454	0.1853194586
455	0.1851207687
456	0.184939966
457	0.1847223189
458	0.1845100915
459	0.1841489513
460	0.1838763981
461	0.1835740136
462	0.1833580645
463	0.1829645808
464	0.1826825491
465	0.1824959313
466	0.1824128919
467	0.1822178771
468	0.1818885454
469	0.1816315186
470	0.1813064087
471	0.1810691299
472	0.1807937622
473	0.1806071677
474	0.1803913349
475	0.1801717572
476	0.17976719
477	0.1794347298
478	0.1791448826
479	0.1789317015
480	0.1787276617
481	0.178561513
482	0.178357008
483	0.178235054
484	0.178026618
485	0.177620911
486	0.1773620699
487	0.1770487762
488	0.1767378319
489	0.1764133616
490	0.1761591376
491	0.1760506979
492	0.1758642429
493	0.1755350625
494	0.1753734961
495	0.1752116157
496	0.1749332474
497	0.1747073778
498	0.1744269394
499	0.1743319907
500	0.1741694823
501	0.1739379371
502	0.1736346803
503	0.1734222668
504	0.1732766919
505	0.1730687211
506	0.1727826072
507	0.17256339
508	0.1724271542
509	0.1723267625
510	0.172119885
511	0.171910914
512	0.1715289209
513	0.1711008025
514	0.1709735684
515	0.1707132502
516	0.1704366265
517	0.1702476013
518	0.1699846082
519	0.1697794519
520	0.1696507058
521	0.1695113996
522	0.1692825527
523	0.1690713487
524	0.1689169349
525	0.1688119377
526	0.1686700379
527	0.1684254553
528	0.168258353
529	0.1680223186
530	0.1678896648
531	0.1677445784
532	0.1673368245
533	0.1670782973
534	0.1668304699
535	0.1666002274
536	0.1664323342
537	0.1662345281
538	0.165985468
539	0.1657734848
540	0.1655560238
541	0.1653660565
542	0.16507172
543	0.1648897078
544	0.1646612214
545	0.1644771622
546	0.164291847
547	0.164110207
548	0.163881802
549	0.1635119741
550	0.1633132842
551	0.1631627664
552	0.1629814055
553	0.1627692478
554	0.1625894686
555	0.1624250877
556	0.1622065451
557	0.1620548644
558	0.1618406947
559	0.1615006633
560	0.1613996087
561	0.161179403
562	0.1609897265
563	0.1607975495
564	0.1605832053
565	0.1602822164
566	0.1601508071
567	0.1599825882
568	0.1597709539
569	0.1596281005
570	0.1594383193
571	0.1592893019
572	0.159136493
573	0.1588872119
574	0.1587517901
575	0.1585130459
576	0.1582780582
577	0.1580747977
578	0.1578312967
579	0.1576238958
580	0.1574580262
581	0.1572511022
582	0.1569570681
583	0.1567798242
584	0.1565709347
585	0.1563063249
586	0.1561462007
587	0.1559450801
588	0.15570501
589	0.1554888516
590	0.1553715729
591	0.1551125689
592	0.1549483741
593	0.1548056951
594	0.1547072806
595	0.1545180693
596	0.1543041787
597	0.1541183983
598	0.1540008173
599	0.1538146298
600	0.1535443794
